StationID,name,latitude,longitude,elevation
3002,Baltasound,60.75,-0.8555,15
3005,Lerwick,60.1392,-1.1833,82
3017,Kirkwall,58.9537,-2.9013,18
3023,South Uist Range,57.3575,-7.385,4
3026,Stornoway,58.2136,-6.3189,8
3031,Loch Glascarnoch,57.725,-4.8955,269
3034,Aultbea,57.8588,-5.6333,11
3037,Skye/Lusa,57.257,-5.8053,18
3039,Bealach,57.4167,-5.6887,773
3044,Altnaharra,58.2878,-4.4425,81
3047,Tulloch Bridge,56.8667,-4.708,249
3063,Aviemore,57.2063,-3.8333,228
3066,Kinloss,57.65,-3.5637,5
3068,Lossiemouth,57.7113,-3.3167,7
3075,Wick Airport (AWS),58.4538,-3.09,36
3080,Aboyne,57.0833,-2.8412,140
3091,Aberdeen/Dyce,57.2,-2.2053,65
3100,Tiree,56.5,-6.88333,12
3105,Islay/Port Ellen,55.6833,-6.25,14	
3111,Machrihanish,55.4408,-5.7,10
3132,West Freugh,54.8592,-4.9353,11
3134,Glasgow/Bishopton,55.9067,-4.5333,59
3144,Strathallan,56.3263,-3.7333,35
3153,Dundrennan,54.8,-4.008,113
3155,Drumalbin,55.6272,-3.7362,245
3158,Charterhall,55.7087,-2.3833,112
3162,Eskdalemuir,55.312,-3.207,236
3166,Edinburgh/Gogarbank,55.9333,-3.3445,57
3171,Leuchars,56.3767,-2.8628,10
3204,Isle Of Man/Ronaldsway,54.0853,-4.6333,16
3210,St.Bees Head,54.5167,-3.6147,124
3212,Keswick,54.6138,-3.1567,81
3214,Walney Island,54.125,-3.258,15
3220,Carlisle,54.9333,-2.9637,28
3224,Spadeadam,55.05,-2.55,285
3225,Shap,54.5,-2.685,252
3238,Albemarle,55.0167,-1.8817,142	
3240,Boulmer,55.4167,-1.6,23
3257,Leeming,54.2969,-1.5331,40
3265,Topcliffe,54.2,-1.39,25
3266,Linton-On-Ouse,54.05,-1.25,16
3275,Loftus,54.5628,-0.8637,158
3292,Bridlington Mrsc,54.0938,-0.1758,15
3302,Valley,53.25,-4.5363,10
3305,Capel Curig,53.0942,-3.9413,216
3313,Rhyl,53.2592,-3.5088,77
3316,Crosby,53.5,-3.0578,9
3321,Hawarden,53.1667,-2.9875,10
3354,Nottingham/Watnall,53.0055,-1.25,117
3373,Scampton,53.307,-0.55,57
3377,Waddington,53.1753,-0.5167,69
3379,Cranwell,53.0333,-0.5,66
3382,Leconfield,53.8667,-0.4417,7
3385,Donna Nook RAF,53.475,0.1517,3
3391,Coningsby,53.0938,-0.1667,6
3392,Wainfleet,53.0883,0.2667,3
3405,Aberdaron,52.7888,-4.7413,95
3414,Shawbury,52.7947,-2.6647,72
3462,Wittering,52.6114,-0.4611,83
3469,Holbeach,52.8667,0.1387,3
3482,Marham,52.65,0.566667,23
3488,Weybourne,52.95,1.1225,21
3502,Aberporth,52.1395,-4.5667,133
3503,Trawscoed,52.3442,-3.95,63
3507,Sennybridge,52.0633,-3.6147,307
3520,Shobdon,52.243,-2.8858,99
3522,Hereford/Credenhill,52.0833,-2.8,76
3529,Pershore,52.15,-2.0412,35
3535,Coleshill,52.4833,-1.6908,96
3544,Church Lawford,52.3588,-1.3333,107
3560,Bedford,52.227,-0.4653,85
3590,Wattisham,52.1167,0.9575,90
3604,Milford-Haven,51.7088,-5.05,44
3605,Pembrey Sands,51.7167,-4.36667,3
3628,Bristol Filton,51.5167,-2.5833,59
3930,Almondsbury,51.55138,-2.55933,75
3649,Brize Norton,51.7583,-1.578,88
3658,Benson,51.6167,-1.0987,57
3660,High Wycombe,51.6833,-0.807,204
3672,Northolt,51.5,-0.416667,38
3684,Andrewsfield,51.8962,0.45,87
3693,Shoeburyness Landwick,51.55,0.833333,3
3707,Chivenor,51.0892,-4.15,6
3710,Liscombe,51.087,-3.6088,348
3716,St. Athan,51.4053,-3.4408,49
3740,Lyneham,51.5031,-1.9922,156
3743,Larkhill,51.2,-1.8058,132
3746,Boscombe Down,51.1617,-1.75,126
3749,Middle Wallop,51.15,-1.56667,91
3761,Odiham,51.2388,-0.95,118
3768,Farnborough,51.2833,-0.766667,65
3769,Charlwood,51.15,-0.2333,67
3772,London/Heathrow Intl,51.4833,-0.45,24
3784,Gravesend,51.4645,0.3113,3
3797,Manston,51.35,1.3355,49
3803,St. Mary's,49.9145,-6.3,31
3808,Camborne,50.2167,-5.3275,87
3809,Culdrose,50.0833,-5.2572,76
3823,Cardinham,50.5,-4.66667,200
3827,Plymouth,50.35,-4.11667,50
3839,Exeter Airport,50.7372,-3.4058,31		
3844,Exeter no 2,50.7367,-3.405,27
3840,Dunkeswell Aerodrome,50.8603,-3.2403,252
3853,Yeovilton,51.0063,-2.6428,20				
3857,Isle Of Portland,50.5167,-2.4555,52
3862,Bournemouth Airport,50.7833,-1.8362,10
3872,Thorney Island,50.8147,-0.9167,4				
3882,Herstmonceux,50.8908,0.3167,52			
3894,Guernsey,49.4333,-2.6,102				
3895,Jersey Airport,49.2097,-2.1942,84				
3904,Castlederg,54.707,-7.5833,49				
3911,Lough Fea,54.7167,-6.815,225				
3916,Ballypatrick Forest,55.1833,-6.1547,156				
3917,Aldergrove,54.6633,-6.2258,82				
99008,East Malling,51.283,0.45,50				
99077,Bramham,53.867,-1.333,30
